Gladiador,Ejecucion,Semilla,Distancia_Mejor,Distancia_Promedio,Desv_Estandar,Tiempo_seg
El Explorador,1,42,588.9,670.39,100.97,0.2014
El Explorador,2,43,568.25,592.77,52.72,0.1988
El Explorador,3,44,666.29,670.83,21.37,0.2026
El Explorador,4,45,602.68,612.41,36.15,0.1984
El Explorador,5,46,563.17,679.55,119.86,0.1954
El Explorador,6,47,541.32,583.55,72.25,0.1961
El Explorador,7,48,759.22,811.54,80.41,0.1977
El Explorador,8,49,566.87,577.52,37.78,0.1983
El Explorador,9,50,605.2,622.5,63.13,0.2044
El Explorador,10,51,570.67,570.93,2.56,0.1998
El Explotador,1,42,728.56,728.56,0.0,0.2044
El Explotador,2,43,619.42,619.42,0.0,0.2061
El Explotador,3,44,675.7,676.05,3.52,0.2025
El Explotador,4,45,764.22,764.22,0.0,0.2052
El Explotador,5,46,834.65,834.65,0.0,0.2077
El Explotador,6,47,854.41,854.41,0.0,0.2044
El Explotador,7,48,751.51,751.51,0.0,0.2052
El Explotador,8,49,677.05,677.05,0.0,0.2154
El Explotador,9,50,637.31,637.31,0.0,0.2119
El Explotador,10,51,638.45,638.45,0.0,0.2082
El Balanceado,1,42,521.54,522.36,5.71,0.2296
El Balanceado,2,43,607.74,608.05,3.01,0.2221
El Balanceado,3,44,568.17,568.42,2.46,0.2215
El Balanceado,4,45,592.5,603.87,44.55,0.2451
El Balanceado,5,46,588.24,594.2,28.59,0.2768
El Balanceado,6,47,526.27,528.86,18.12,0.2505
El Balanceado,7,48,507.19,514.7,32.41,0.2375
El Balanceado,8,49,542.57,544.37,11.29,0.2372
El Balanceado,9,50,625.53,627.05,13.87,0.2356
El Balanceado,10,51,539.74,540.08,3.42,0.2057
